"Nabijheid voorzieningen; afstand locatie, wijk- en buurtcijfers 2021"
""
"";"";"Wijken en buurten"
"Onderwerp";"";"Nederland";"Aa en Hunze";"Wijk 00 Annen";"Annen";"Verspreide huizen Annen";"Wijk 01 Eext";"Eext";"Verspreide huizen Eext"
"Regioaanduiding|Gemeentenaam";"naam";"Nederland";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze"
"Regioaanduiding|Soort regio";"omschrijving";"Land";"Gemeente";"Wijk";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt"
"Regioaanduiding|Codering";"code";"NL00";"GM1680";"WK168000";"BU16800000";"BU16800009";"WK168001";"BU16800100";"BU16800109"
"Regioaanduiding|Indelingswijziging wijken en buurten";"code";".";".";"1";"1";"1";"1";"1";"1"
"Gezondheid en welzijn|Huisartsenpraktijk|Afstand tot huisartsenpraktijk";"km";"1,0";"2,5";"0,9";"0,8";"2,6";"3,8";"3,8";"3,6"
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 1 km";"aantal";"1,5";"0,4";"0,7";"0,8";"0,0";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 3 km";"aantal";"8,3";"1,0";"1,0";"1,0";"0,7";"0,0";"0,0";"0,4"
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 5 km";"aantal";"17,6";"1,8";"2,8";"2,9";"1,3";"2,1";"2,0";"2,2"
"Gezondheid en welzijn|Huisartsenpraktijk|Afstand tot huisartsenpost";"km";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Afstand tot apotheek";"km";"1,2";"2,5";"0,9";"0,8";"2,6";"3,9";"3,9";"3,7"
"Gezondheid en welzijn|Ziekenhuis (incl. buitenpolikliniek)|Afstand tot ziekenhuis";"km";"4,8";"10,4";"13,0";"13,0";"12,1";"14,3";"14,4";"13,9"
"Gezondheid en welzijn|Ziekenhuis (incl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 5 km";"aantal";"1,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Ziekenhuis (incl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 10 km";"aantal";"3,0";"0,7";"0,0";"0,0";"0,1";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Ziekenhuis (incl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 20 km";"aantal";"8,8";"3,1";"4,2";"4,2";"4,8";"4,0";"4,0";"4,0"
"Gezondheid en welzijn|Ziekenhuis (excl. buitenpolikliniek)|Afstand tot ziekenhuis";"km";"7,1";"11,1";"15,1";"15,1";"16,2";"14,6";"14,4";"16,2"
"Gezondheid en welzijn|Ziekenhuis (excl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 5 km";"aantal";"0,7";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Ziekenhuis (excl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 10 km";"aantal";"1,7";"0,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Ziekenhuis (excl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 20 km";"aantal";"4,3";"1,4";"1,2";"1,2";"1,9";"2,0";"2,0";"2,0"
"Gezondheid en welzijn|Afstand tot consultatiebureau";"km";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Fysiotherapeut|Afstand tot fysiotherapeut";"km";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Fysiotherapeut|Aantal fysiotherapeuten|Binnen 1 km";"aantal";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Fysiotherapeut|Aantal fysiotherapeuten|Binnen 3 km";"aantal";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Fysiotherapeut|Aantal fysiotherapeuten|Binnen 5 km";"aantal";".";".";".";".";".";".";".";"."
"Detailhandel|Winkels dagelijkse boodschappen|Afstand tot grote supermarkt";"km";"0,9";"2,1";"0,9";"0,8";"2,1";"0,9";"0,6";"2,6"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal grote supermarkten|Binnen 1 km";"aantal";"2,0";"0,7";"1,2";"1,3";"0,1";"0,7";"0,8";"0,0"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal grote supermarkten|Binnen 3 km";"aantal";"11,6";"1,5";"2,5";"2,5";"1,8";"1,0";"1,0";"1,1"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal grote supermarkten|Binnen 5 km";"aantal";"24,3";"2,7";"4,2";"4,3";"3,0";"3,2";"3,2";"3,7"
"Detailhandel|Winkels dagelijkse boodschappen|Afstand tot ov. dagel. levensmiddelen";"km";"0,8";"1,7";"0,8";"0,8";"1,9";"3,9";"4,0";"3,2"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal overige dagelijkse levensmiddelen|Binnen 1 km";"aantal";"8,5";"2,0";"2,7";"2,8";"0,1";"0,0";"0,0";"0,0"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal overige dagelijkse levensmiddelen|Binnen 3 km";"aantal";"50,9";"3,9";"4,4";"4,5";"3,5";"0,2";"0,0";"1,7"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal overige dagelijkse levensmiddelen|Binnen 5 km";"aantal";"106,0";"7,2";"9,5";"9,7";"5,1";"6,8";"6,8";"7,2"
"Detailhandel|Warenhuis|Afstand tot warenhuis";"km";"2,6";"5,3";"5,2";"5,1";"6,3";"4,3";"4,2";"4,5"
"Detailhandel|Warenhuis|Aantal warenhuizen|Binnen 5 km";"aantal";"2,5";"0,4";"0,4";"0,4";"0,0";"0,9";"1,0";"0,6"
"Detailhandel|Warenhuis|Aantal warenhuizen|Binnen 10 km";"aantal";"6,8";"1,6";"2,0";"2,0";"2,0";"1,2";"1,1";"1,8"
"Detailhandel|Warenhuis|Aantal warenhuizen|Binnen 20 km";"aantal";"19,8";"7,0";"9,9";"10,0";"9,0";"8,0";"8,0";"8,2"
"Horeca|Cafés en dergelijke|Afstand tot café e.d.";"km";"1,3";"3,8";"4,1";"4,1";"5,4";"3,6";"3,5";"3,8"
"Horeca|Cafés en dergelijke|Aantal cafés|Binnen 1 km";"aantal";"4,1";"0,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Horeca|Cafés en dergelijke|Aantal cafés|Binnen 3 km";"aantal";"27,4";"0,6";"0,0";"0,0";"0,0";"0,1";"0,0";"0,4"
"Horeca|Cafés en dergelijke|Aantal cafés|Binnen 5 km";"aantal";"55,8";"1,6";"2,8";"2,9";"0,4";"2,0";"2,0";"1,6"
"Horeca|Cafetaria's en dergelijke|Afstand tot cafetaria e.d.";"km";"0,8";"2,4";"4,7";"4,6";"5,8";"2,3";"2,2";"3,7"
"Horeca|Cafetaria's en dergelijke|Aantal cafetaria's e.d.|Binnen 1 km";"aantal";"6,8";"0,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Horeca|Cafetaria's en dergelijke|Aantal cafetaria's e.d.|Binnen 3 km";"aantal";"45,2";"1,5";"0,0";"0,0";"0,0";"0,9";"1,0";"0,6"
"Horeca|Cafetaria's en dergelijke|Aantal cafetaria's e.d.|Binnen 5 km";"aantal";"93,4";"3,8";"4,4";"4,6";"0,7";"3,9";"4,0";"2,9"
"Horeca|Restaurants|Afstand tot restaurant";"km";"0,8";"1,0";"0,7";"0,7";"1,6";"0,7";"0,5";"2,2"
"Horeca|Restaurants|Aantal restaurants|Binnen 1 km";"aantal";"10,1";"1,9";"2,7";"2,8";"0,2";"1,7";"1,9";"0,0"
"Horeca|Restaurants|Aantal restaurants|Binnen 3 km";"aantal";"70,6";"5,0";"6,3";"6,4";"4,5";"3,0";"3,0";"3,1"
"Horeca|Restaurants|Aantal restaurants|Binnen 5 km";"aantal";"146,8";"10,8";"15,0";"15,3";"9,6";"8,0";"7,8";"9,5"
"Horeca|Hotels en dergelijke|Afstand tot hotel e.d.";"km";"2,5";"3,5";"2,7";"2,7";"2,8";"0,7";"0,6";"1,4"
"Horeca|Hotels en dergelijke|Aantal hotels e.d.|Binnen 5 km";"aantal";"18,3";"2,4";"4,0";"4,0";"3,3";"5,8";"6,0";"4,4"
"Horeca|Hotels en dergelijke|Aantal hotels e.d.|Binnen 10 km";"aantal";"42,3";"8,7";"12,0";"12,0";"10,5";"7,8";"7,6";"9,6"
"Horeca|Hotels en dergelijke|Aantal hotels e.d.|Binnen 20 km";"aantal";"98,5";"33,5";"33,4";"33,4";"32,9";"31,6";"31,4";"32,5"
"Kinderopvang|Kinderdagverblijf|Afstand tot kinderdagverblijf";"km";"0,7";"1,2";"0,5";"0,5";"1,7";"1,3";"1,2";"2,0"
"Kinderopvang|Kinderdagverblijf|Aantal kinderdagverblijven|Binnen 1 km";"aantal";"3,3";"1,1";"2,4";"2,5";"0,1";"0,3";"0,3";"0,0"
"Kinderopvang|Kinderdagverblijf|Aantal kinderdagverblijven|Binnen 3 km";"aantal";"20,8";"2,7";"5,7";"5,9";"3,3";"1,1";"1,0";"1,7"
"Kinderopvang|Kinderdagverblijf|Aantal kinderdagverblijven|Binnen 5 km";"aantal";"45,8";"4,7";"8,1";"8,1";"7,5";"5,0";"4,9";"6,1"
"Kinderopvang|Buitenschoolse opvang|Afstand tot buitenschoolse opvang";"km";"0,7";"1,1";"0,6";"0,6";"1,8";"1,3";"1,2";"2,0"
"Kinderopvang|Buitenschoolse opvang|Aantal buitenschoolse opvang|Binnen 1 km";"aantal";"2,4";"1,4";"1,9";"2,0";"0,1";"0,3";"0,3";"0,0"
"Kinderopvang|Buitenschoolse opvang|Aantal buitenschoolse opvang|Binnen 3 km";"aantal";"15,1";"3,1";"4,7";"4,8";"2,8";"1,1";"1,0";"2,1"
"Kinderopvang|Buitenschoolse opvang|Aantal buitenschoolse opvang|Binnen 5 km";"aantal";"33,8";"5,6";"8,0";"8,0";"7,0";"6,4";"6,3";"7,2"
"Onderwijs|Basisonderwijs|Afstand tot school";"km";"0,7";"1,2";"0,8";"0,8";"2,0";"1,0";"0,9";"2,1"
"Onderwijs|Basisonderwijs|Aantal scholen|Binnen 1 km";"aantal";"1,9";"0,8";"0,7";"0,7";"0,0";"0,7";"0,7";"0,1"
"Onderwijs|Basisonderwijs|Aantal scholen|Binnen 3 km";"aantal";"10,7";"1,8";"2,5";"2,6";"1,2";"1,0";"1,0";"1,3"
"Onderwijs|Basisonderwijs|Aantal scholen|Binnen 5 km";"aantal";"23,1";"3,6";"4,7";"4,7";"3,6";"4,2";"4,3";"3,7"
"Onderwijs|Voortgezet onderwijs|Voortgezet onderwijs totaal|Afstand tot school";"km";"2,5";"5,6";"7,3";"7,3";"7,0";"3,9";"3,9";"4,2"
"Onderwijs|Voortgezet onderwijs|Voortgezet onderwijs totaal|Aantal scholen|Binnen 3 km";"aantal";"3,8";"0,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2"
"Onderwijs|Voortgezet onderwijs|Voortgezet onderwijs totaal|Aantal scholen|Binnen 5 km";"aantal";"8,0";"0,4";"0,0";"0,0";"0,1";"1,0";"1,0";"0,8"
"Onderwijs|Voortgezet onderwijs|Voortgezet onderwijs totaal|Aantal scholen|Binnen 10 km";"aantal";"20,1";"3,5";"1,0";"1,0";"1,0";"1,0";"1,0";"1,0"
"Onderwijs|Voortgezet onderwijs|Vmbo|Afstand tot school";"km";"2,6";"5,6";"7,3";"7,3";"7,0";"3,9";"3,9";"4,2"
"Onderwijs|Voortgezet onderwijs|Vmbo|Aantal scholen|Binnen 3  km";"aantal";"2,9";"0,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,2"
"Onderwijs|Voortgezet onderwijs|Vmbo|Aantal scholen|Binnen 5  km";"aantal";"6,2";"0,4";"0,0";"0,0";"0,1";"1,0";"1,0";"0,8"
"Onderwijs|Voortgezet onderwijs|Vmbo|Aantal scholen|Binnen 10  km";"aantal";"15,7";"3,1";"1,0";"1,0";"1,0";"1,0";"1,0";"1,0"
"Onderwijs|Voortgezet onderwijs|Havo/vwo|Afstand tot school";"km";"3,4";"11,3";"13,7";"13,7";"12,8";"15,0";"15,0";"14,6"
"Onderwijs|Voortgezet onderwijs|Havo/vwo|Aantal scholen|Binnen 3 km";"aantal";"2,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Onderwijs|Voortgezet onderwijs|Havo/vwo|Aantal scholen|Binnen 5 km";"aantal";"4,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Onderwijs|Voortgezet onderwijs|Havo/vwo|Aantal scholen|Binnen 10 km";"aantal";"10,5";"0,7";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Groenvoorzieningen|Openbaar groen|Afstand tot openbaar groen totaal";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Openbaar groen|Afstand tot park of plantsoen";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Openbaar groen|Afstand tot dagrecreatief terrein";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Openbaar groen|Afstand tot bos";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Openbaar groen|Afstand tot open natuurlijk terrein|Afstand tot open nat. terrein totaal";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Openbaar groen|Afstand tot open natuurlijk terrein|Afstand tot open droog nat. terrein";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Openbaar groen|Afstand tot open natuurlijk terrein|Afstand tot open nat natuurlijk terrein";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Semi-openbaar groen|Afstand tot semi-openbaar groen totaal";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Semi-openbaar groen|Afstand tot sportterrein";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Semi-openbaar groen|Afstand tot volkstuin";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Semi-openbaar groen|Afstand tot verblijfsrecreatief terrein";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Semi-openbaar groen|Afstand tot begraafplaats";"km";".";".";".";".";".";".";".";"."
"Groenvoorzieningen|Afstand tot recreatief binnenwater";"km";".";".";".";".";".";".";".";"."
"Verkeer en vervoer|Afstand tot oprit hoofdverkeersweg";"km";"1,8";"1,6";"1,5";"1,5";"2,6";"4,0";"4,0";"3,7"
"Verkeer en vervoer|Treinstations|Afstand tot treinstations totaal";"km";".";".";".";".";".";".";".";"."
"Verkeer en vervoer|Treinstations|Afstand tot belangrijk overstapstation";"km";".";".";".";".";".";".";".";"."
"Vrije tijd en cultuur|Afstand tot bibliotheek";"km";"2,0";"2,7";"0,8";"0,7";"2,1";"3,8";"3,9";"3,3"
"Vrije tijd en cultuur|Sport|Afstand tot zwembad";"km";"3,2";"7,7";"5,2";"5,1";"6,8";"9,9";"10,0";"9,0"
"Vrije tijd en cultuur|Sport|Afstand tot kunstijsbaan";"km";"18,5";"32,3";"25,2";"25,1";"26,8";"30,3";"30,4";"29,3"
"Vrije tijd en cultuur|Museum|Afstand tot museum";"km";"4,1";"8,0";"5,8";"5,7";"7,2";"10,7";"10,8";"9,6"
"Vrije tijd en cultuur|Museum|Aantal musea|Binnen 5 km";"aantal";"3,5";"0,1";"0,1";"0,1";"0,0";"0,0";"0,0";"0,0"
"Vrije tijd en cultuur|Museum|Aantal musea|Binnen 10 km";"aantal";"8,3";"1,0";"1,0";"1,0";"1,0";"0,1";"0,0";"0,7"
"Vrije tijd en cultuur|Museum|Aantal musea|Binnen 20 km";"aantal";"21,8";"6,4";"8,0";"8,0";"8,0";"6,9";"6,8";"7,6"
"Vrije tijd en cultuur|Podiumkunsten (excl. festivals)|Afstand tot podiumkunsten totaal";"km";"4,8";"11,3";"14,0";"14,0";"13,2";"14,6";"14,5";"14,9"
"Vrije tijd en cultuur|Podiumkunsten (excl. festivals)|Aantal podiumkunsten totaal|Binnen 5 km";"aantal";"3,3";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Vrije tijd en cultuur|Podiumkunsten (excl. festivals)|Aantal podiumkunsten totaal|Binnen 10 km";"aantal";"7,4";"0,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Vrije tijd en cultuur|Podiumkunsten (excl. festivals)|Aantal podiumkunsten totaal|Binnen 20 km";"aantal";"17,1";"2,6";"3,0";"3,0";"3,3";"3,9";"4,0";"3,8"
"Vrije tijd en cultuur|Podiumkunsten (excl. festivals)|Afstand tot poppodium";"km";"10,1";"29,0";"21,7";"21,6";"23,3";"26,8";"26,9";"25,8"
"Vrije tijd en cultuur|Bioscoop|Afstand tot bioscoop";"km";"6,5";"11,6";"14,3";"14,3";"14,0";"14,7";"14,5";"16,0"
"Vrije tijd en cultuur|Bioscoop|Aantal bioscopen|Binnen 5 km";"aantal";"1,3";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Vrije tijd en cultuur|Bioscoop|Aantal bioscopen|Binnen 10 km";"aantal";"2,9";"0,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Vrije tijd en cultuur|Bioscoop|Aantal bioscopen|Binnen 20 km";"aantal";"7,2";"1,8";"2,1";"2,1";"2,4";"2,9";"3,0";"2,9"
"Vrije tijd en cultuur|Recreatie|Afstand tot sauna";"km";"7,6";"9,4";"13,9";"13,9";"13,4";"10,6";"10,4";"12,1"
"Vrije tijd en cultuur|Recreatie|Afstand tot zonnebank";"km";"4,0";"10,8";"13,6";"13,6";"12,7";"14,0";"14,0";"14,3"
"Vrije tijd en cultuur|Recreatie|Afstand tot attractie";"km";"5,2";"5,9";"5,5";"5,5";"7,0";"9,7";"9,8";"8,8"
"Vrije tijd en cultuur|Recreatie|Aantal attracties|Binnen 10 km";"aantal";"3,4";"1,5";"1,0";"1,0";"1,0";"0,9";"0,8";"1,0"
"Vrije tijd en cultuur|Recreatie|Aantal attracties|Binnen 20 km";"aantal";"9,9";"6,8";"7,0";"7,0";"7,0";"6,2";"6,1";"7,1"
"Vrije tijd en cultuur|Recreatie|Aantal attracties|Binnen 50 km";"aantal";"44,7";"26,9";"25,9";"26,0";"25,7";"26,5";"26,6";"26,2"
"Afstand tot brandweerkazerne";"km";"2,1";"2,7";"1,3";"1,3";"1,7";"4,2";"4,3";"3,1"
"Bron: CBS"
