"Districts and neighbourhoods","Regional designation Change in district or neighbourhood (code)"
"Netherlands","."
"Aa en Hunze","."
"Wijk 00 Annen","1"
"Annen","1"
"Verspreide huizen Annen","1"
"Wijk 01 Eext","1"
"Eext","1"
"Verspreide huizen Eext","1"
"Wijk 02 Anloo","1"
"Anloo","1"
"Verspreide huizen Anloo","1"
"Wijk 03 Gasteren","1"
"Gasteren","1"
"Verspreide huizen Gasteren","1"
"Wijk 04 Anderen","1"
"Anderen","1"
"Verspreide huizen Anderen","1"
"Wijk 05 Schipborg","1"
"Schipborg","1"
"Verspreide huizen Schipborg","1"
"Wijk 06 Eexterveen","1"
"Eexterveen","1"
"Verspreide huizen Eexterveen","1"
"Wijk 07 Spijkerboor","1"
"Spijkerboor","1"
"Verspreide huizen Spijkerboor","1"
"Wijk 08 Nieuw-Annerveen","1"
"Nieuw-Annerveen","1"
"Verspreide huizen Nieuw-Annerveen","1"
"Wijk 09 Oud-Annerveen","1"
"Oud-Annerveen","1"
"Verspreide huizen Oud-Annerveen","1"
"Wijk 11 Annerveenschekanaal","1"
"Annerveenschekanaal","1"
"Verspreide huizen Annerveenschekanaal","1"
"Wijk 12 Eexterveenschekanaal","1"
"Eexterveenschekanaal","1"
"Verspreide huizen Eexterveenschekanaal","1"
"Wijk 13 Eexterzandvoort","1"
"Eexterzandvoort","1"
"Verspreide huizen Eexterzandvoort","1"
"Wijk 14 Gasselte","1"
"Gasselte","1"
"Kostvlies","1"
"Verspreide huizen Gasselte","1"
"Wijk 15 Gasselternijveen","1"
"Gasselternijveen","1"
"Gasselterboerveen","1"
"Verspreide huizen Gasselternijveen","1"
"Wijk 16 Gasselternijveenschemond","1"
"Gasselternijveenschemond","1"
"Gasselterboerveenschemond","1"
"Verspr.h. Gasselternijveenschemond","1"
"Wijk 17 Gieten","1"
"Gieten","1"
"Verspreide huizen Gieten","1"
"Wijk 18 Gieterveen","1"
"Gieterveen","1"
"Bonnerveen","1"
"Nieuwediep","1"
"Verspreide huizen Gieterveen","1"
"Wijk 19 Rolde","1"
"Rolde","1"
"Ballo","1"
"Nijlande","1"
"Deurze","1"
"Verspreide huizen Nooitgedacht","1"
"Verspreide huizen Rolde","1"
"Wijk 20 Grolloo","1"
"Grolloo","1"
"Schoonloo","1"
"Verspreide huizen Papenvoort","1"
"Verspreide huizen Grolloo","1"
"Wijk 21 Ekehaar","1"
"Ekehaar","1"
"Amen","1"
"Verspreide huizen Ekehaar","1"
"Aalsmeer","."
"Wijk 00 Aalsmeer","1"
"Centrum","1"
"Stommeer","1"
"Hornmeer","1"
"Uiterweg","1"
"Wijk 01 Kudelstraat en Kalslagen","1"
"Kudelstaart","1"
"Wijk 02 Oosteinde","1"
"Bovenlanden","1"
"Greenpark","1"
"Oosteinde","1"
"Schinkelpolder","1"
"Aalten","."
"Wijk 01 Buitengebied Aalten","1"
"Barlo-Kern","1"
"Verspreide huizen Barlo","1"
"Verspreide huizen Heurne","1"
"Verspreide huizen IJzerlo","1"
"IJzerlo-kern","1"
"Lintelo-kern","1"
"Verspreide huizen ten westen van Aalten","1"
"Verspreide huizen Lintelo","1"
"Source: CBS."